mac_address,vendor,time,LAT,LON,
42:13:c7:24:8c:b5,,1551166010000,46.523024,24.598556,
da:a1:19:95:e1:4a,Google, Inc,1551161840000,46.522743,24.598609,
58:b1:0f:7c:e6:39,Samsung Electronics Co, Ltd,1551167046000,46.522929,24.598748,
da:a1:19:d8:1b:20,Google, Inc,1551167776000,46.522743,24.598609,
ce:59:8c:00:b3:32,,1551168347000,46.523024,24.598556,
58:b1:0f:7d:fc:a1,Samsung Electronics Co, Ltd,1551167072000,46.522929,24.598748,
da:a1:19:ae:7b:53,Google, Inc,1551168011000,46.522743,24.598609,
da:a1:19:90:10:0e,Google, Inc,1551168238000,46.522743,24.598609,
88:b4:a6:49:0e:dc,Motorola Mobility Llc, a Lenovo Co,1551166515000,46.523024,24.598556,
da:a1:19:52:5b:7b,Google, Inc,1551167883000,46.522929,24.598748,
da:a1:19:97:7c:09,Google, Inc,1551166272000,46.523024,24.598556,
da:a1:19:04:b6:df,Google, Inc,1551168403000,46.523024,24.598556,
58:b1:0f:80:ed:ee,Samsung Electronics Co, Ltd,1551167123000,46.523024,24.598556,
da:a1:19:20:5b:81,Google, Inc,1551161948000,46.523024,24.598556,
da:a1:19:52:fb:04,Google, Inc,1551165813000,46.47798832470707,24.60727325353573,
da:a1:19:e1:6b:3f,Google, Inc,1551162549000,46.522929,24.598748,
da:a1:19:d2:b2:6d,Google, Inc,1551165006000,46.523024,24.598556,
da:a1:19:05:d8:3c,Google, Inc,1551166073000,46.47794402851358,24.606741361105794,
02:71:0b:7d:8f:6c,,1551167881000,46.523024,24.598556,
da:a1:19:e7:04:b8,Google, Inc,1551167941000,46.523024,24.598556,
da:a1:19:07:c6:c3,Google, Inc,1551165146000,46.523024,24.598556,
88:bd:45:03:46:6b,Samsung Electronics Co, Ltd,1551168043000,46.522929,24.598748,
da:a1:19:6c:40:e9,Google, Inc,1551167171000,46.523024,24.598556,
da:a1:19:58:29:fe,Google, Inc,1551165938000,46.523024,24.598556,
da:a1:19:5c:8f:c1,Google, Inc,1551163768000,46.477988365229535,24.60727364895494,
da:a1:19:3f:52:c0,Google, Inc,1551168383000,46.523024,24.598556,
da:a1:19:93:04:9b,Google, Inc,1551168137000,46.522743,24.598609,
dc:cf:96:b7:ac:ce,Samsung Electronics Co, Ltd,1551168036000,46.45070726234145,24.61235054213135,
da:a1:19:60:65:d5,Google, Inc,1551168316000,46.523024,24.598556,
e6:47:81:75:a0:fc,,1551167156000,46.523024,24.598556,
da:a1:19:2f:2e:f5,Google, Inc,1551168063000,46.523024,24.598556,
da:a1:19:55:de:fc,Google, Inc,1551168161000,46.522743,24.598609,
58:b1:0f:74:0f:40,Samsung Electronics Co, Ltd,1551162621000,46.522929,24.598748,
da:a1:19:6a:30:2c,Google, Inc,1551166134000,46.523024,24.598556,
da:a1:19:d3:9e:6f,Google, Inc,1551166319000,46.47798826544512,24.607272675444403,
da:a1:19:32:f0:de,Google, Inc,1551162249000,46.523024,24.598556,
da:a1:19:70:e2:43,Google, Inc,1551168215000,46.522743,24.598609,
da:a1:19:49:7d:db,Google, Inc,1551163082000,46.523024,24.598556,
58:b1:0f:7a:db:a9,Samsung Electronics Co, Ltd,1551167019000,46.522929,24.598748,
da:a1:19:e4:c0:28,Google, Inc,1551168380000,46.391641540739464,24.622938767667677,
da:a1:19:0a:8f:b3,Google, Inc,1551164667000,46.523024,24.598556,
da:a1:19:dd:43:aa,Google, Inc,1551168400000,46.522743,24.598609,
da:a1:19:bd:01:58,Google, Inc,1551166277000,46.523024,24.598556,
da:a1:19:29:5d:39,Google, Inc,1551168192000,46.522743,24.598609,
de:e2:47:8f:21:49,,1551161758000,46.522929,24.598748,
da:a1:19:30:72:98,Google, Inc,1551167850000,46.523024,24.598556,
da:a1:19:f4:53:fe,Google, Inc,1551168336000,46.523024,24.598556,
da:a1:19:ae:f8:44,Google, Inc,1551166311000,46.47801752049584,24.5898819515681,
da:a1:19:be:33:93,Google, Inc,1551162560000,46.523024,24.598556,
da:a1:19:21:6f:8f,Google, Inc,1551165737000,46.523024,24.598556,
58:b1:0f:a6:d6:3c,Samsung Electronics Co, Ltd,1551167758000,46.522929,24.598748,
da:a1:19:91:81:59,Google, Inc,1551163936000,46.48041858058376,24.567327351141007,
12:a6:87:65:3f:ca,,1551168257000,46.522743,24.598609,
da:a1:19:bc:43:d2,Google, Inc,1551162571000,46.523024,24.598556,
da:a1:19:1b:a4:ee,Google, Inc,1551168386000,46.38008864635175,24.492642837254525,
da:a1:19:ec:dc:80,Google, Inc,1551168410000,46.523024,24.598556,
02:d3:10:cc:f1:59,,1551167876000,46.523024,24.598556,
da:a1:19:71:7f:cd,Google, Inc,1551168019000,46.523024,24.598556,
da:a1:19:af:08:3a,Google, Inc,1551165213000,46.523024,24.598556,
da:a1:19:b5:fd:89,Google, Inc,1551163584000,46.523024,24.598556,
02:87:7d:a0:51:e8,,1551167201000,46.523024,24.598556,
da:a1:19:d0:20:39,Google, Inc,1551161926000,46.523024,24.598556,
da:a1:19:87:76:34,Google, Inc,1551168210000,46.523024,24.598556,
02:3a:eb:03:a7:05,,1551167451000,46.523024,24.598556,
da:a1:19:5a:59:ba,Google, Inc,1551167712000,46.523024,24.598556,
02:db:c8:66:e2:93,,1551167874000,46.523024,24.598556,
da:a1:19:6e:09:ea,Google, Inc,1551166584000,46.450707262319234,24.612350542014898,
d0:b1:28:9f:d8:e6,Samsung Electronics Co, Ltd,1551167723000,46.523024,24.598556,
