"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type","New Column"
"1","14:47:02.214526","f0:18:98:37:e3:42","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.000000","Probe Request","","","","","1","","",""
"2","14:47:02.216573","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.002047","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"3","14:47:02.218662","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.002089","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"4","14:47:02.224283","f0:18:98:37:e3:42","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","0.005621","Probe Request","","","","","1","","",""
"5","14:47:02.228315","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.004032","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"6","14:47:02.230288","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.001973","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"7","14:47:02.244829","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.014541","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"8","14:47:02.248433","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.003604","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"9","14:47:02.250813","02:73:8d:a0:1c:47","f0:18:98:37:e3:42","802.11","-53 dBm","0.002380","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
"10","14:47:05.581025","02:73:8d:a0:1c:47","a0:28:ed:80:68:b9","802.11","-57 dBm","3.330212","Probe Response","","","Telephone","Internet5Ga","1","CINK FIVE","Smartphone - dual mode",""
