"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type"
"1","20:45:28.540210","00:15:fa:d8:bb:00","ec:1f:72:f0:89:0b","802.11","-73 dBm","0.000000","Probe Response","","","","Internet","1","",""
"2","20:45:28.897184","00:26:0a:ec:cb:a0","da:a1:19:af:2c:67","802.11","-85 dBm","0.356974","Probe Response","","","","Internet","1","",""
"3","20:45:29.040056","00:15:fa:d8:bb:00","88:b4:a6:6a:93:47","802.11","-75 dBm","0.142872","Probe Response","","","","Internet","1","",""
"4","20:45:31.247075","68:3e:34:2d:cc:11","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","2.207019","Probe Request","Meizu","m2 note","Telephone","","1","m2note","Smartphone - dual mode"
"5","20:45:31.561068","00:26:0a:ec:cb:a0","da:a1:19:c4:c6:ac","802.11","-83 dBm","0.313993","Probe Response","","","","Internet","1","",""
"6","20:45:32.341222","a4:50:46:43:3c:a7","ff:ff:ff:ff:ff:ff","802.11","-75 dBm","0.780154","Probe Request","","","","","1","",""
"7","20:45:34.032744","00:15:fa:d8:bb:00","9a:b0:c2:26:4c:73","802.11","-73 dBm","1.691522","Probe Response","","","","Internet","1","",""
"8","20:45:34.634460","00:15:fa:d8:bb:00","7c:f9:0e:af:ab:89","802.11","-75 dBm","0.601716","Probe Response","","","","Internet","1","",""
"9","20:45:36.307292","da:a1:19:04:52:c8","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","1.672832","Probe Request","","","","Internet","1","",""
"10","20:45:36.307923","da:a1:19:04:52:c8","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.000631","Probe Request","","","","","1","",""
"11","20:45:36.332322","da:a1:19:04:52:c8","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.024399","Probe Request","","","","Internet","1","",""
"12","20:45:36.332951","da:a1:19:04:52:c8","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.000629","Probe Request","","","","","1","",""
"13","20:45:37.076476","7c:f9:0e:af:ab:89","ff:ff:ff:ff:ff:ff","802.11","-71 dBm","0.743525","Probe Request","","","","Internet","1","",""
"14","20:45:38.089491","04:56:04:bd:cb:fe","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","1.013015","Probe Request","ALLVIEW","P9_Energy_mini","Telephone","","1","P9_Energy_mini","Smartphone - dual mode"
"15","20:45:38.091062","00:26:0a:ec:cb:a0","04:56:04:bd:cb:fe","802.11","-85 dBm","0.001571","Probe Response","","","","Internet","1","",""
"16","20:45:38.155370","00:15:fa:d8:bb:00","04:56:04:bd:cb:fe","802.11","-81 dBm","0.064308","Probe Response","","","","Internet","1","",""
"17","20:45:39.102524","30:3a:64:74:91:b3","ff:ff:ff:ff:ff:ff","802.11","-45 dBm","0.947154","Probe Request","","","","","1","",""
"18","20:45:39.103788","30:3a:64:74:91:b3","ff:ff:ff:ff:ff:ff","802.11","-47 dBm","0.001264","Probe Request","","","","","1","",""
"19","20:45:39.831352","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.727564","Probe Request","","","","Internet","1","",""
"20","20:45:39.834785","00:26:0a:ec:cb:a0","08:ee:8b:6c:0e:6f","802.11","-95 dBm","0.003433","Probe Response","","","","Internet","1","",""
"21","20:45:39.851772","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","0.016987","Probe Request","","","","Internet","1","",""
"22","20:45:40.229410","00:15:fa:d8:bb:00","88:b4:a6:0f:95:80","802.11","-75 dBm","0.377638","Probe Response","","","","Internet","1","",""
"23","20:45:41.306371","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-71 dBm","1.076961","Probe Response","","","","Internet","1","",""
"24","20:45:41.658128","00:26:0a:ec:cb:a0","da:a1:19:6d:49:94","802.11","-85 dBm","0.351757","Probe Response","","","","Internet","1","",""
"25","20:45:41.731508","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.073380","Probe Request","","","","","1","",""
"26","20:45:41.735630","00:26:0a:ec:cb:a0","14:d1:1f:70:40:39","802.11","-87 dBm","0.004122","Probe Response","","","","Internet","1","",""
"27","20:45:41.741723","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.006093","Probe Request","","","","","1","",""
"28","20:45:41.751707","14:d1:1f:70:40:39","ff:ff:ff:ff:ff:ff","802.11","-81 dBm","0.009984","Probe Request","","","","","1","",""
"29","20:45:41.783014","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.031307","Probe Response","","","","Internet","1","",""
"30","20:45:41.805708","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.022694","Probe Response","","","","Internet","1","",""
"31","20:45:41.847974","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.042266","Probe Response","","","","Internet","1","",""
"32","20:45:42.005774","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-73 dBm","0.157800","Probe Response","","","","Internet","1","",""
"33","20:45:42.018933","00:15:fa:d8:bb:00","14:d1:1f:70:40:39","802.11","-75 dBm","0.013159","Probe Response","","","","Internet","1","",""
"34","20:45:44.344331","da:a1:19:d8:6b:44","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","2.325398","Probe Request","","","","","1","",""
"35","20:45:44.352804","da:a1:19:d8:6b:44","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.008473","Probe Request","","","","","1","",""
"36","20:45:46.636224","00:26:0a:ec:cb:a0","da:a1:19:1e:35:20","802.11","-85 dBm","2.283420","Probe Response","","","","Internet","1","",""
"37","20:45:46.693456","da:a1:19:1e:35:20","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.057232","Probe Request","","","","","1","",""
"38","20:45:46.695020","00:26:0a:ec:cb:a0","da:a1:19:1e:35:20","802.11","-85 dBm","0.001564","Probe Response","","","","Internet","1","",""
"39","20:45:46.958567","00:26:0a:ec:cb:a0","78:f8:82:a1:26:92","802.11","-87 dBm","0.263547","Probe Response","","","","Internet","1","",""
